,RNA_S_C1,RNA_S_C2,RNA_S_C3,RNA_R_C1,RNA_R_C2,RNA_R_C3,RNA_S_T1,RNA_S_T2,RNA_S_T3,RNA_R_T1,RNA_R_T2,RNA_R_T3
100505648,27.4464972054262,16.3452926061022,30.7189337311598,20.449829681725,20.8585961785076,27.9737344352296,32.4647250609947,42.3194548398144,35.5853646397311,29.1122776897881,32.6744138216311,27.4417528063764
5888,307.400768700774,292.292291309122,320.959893811773,343.34187728791,363.378701846632,388.275433960987,283.164546365342,311.982957772585,298.147649684233,355.921072400958,354.61349118182,378.304163687903
55177,499.526249138758,499.973656186656,451.250543774968,447.743639347243,497.31284572968,455.412396605539,530.257175996246,487.16581734205,496.271571732466,489.274086334826,507.414426406506,502.772113916825
2644,54.8929944108525,49.9973656186656,47.6673109621445,45.2048866648659,40.6193715055147,42.5200763415491,56.8132688567407,55.1137086285955,68.2854294438083,46.0161808645038,48.0506085612222,59.7838186138915
55192,201.274312839792,159.606974859586,163.128130848228,256.16102443424,231.640199666584,229.384622368883,234.46745877385,223.407354619485,226.015153792887,190.638463581516,232.564945436315,212.673584249417
643338,35.6804463670541,29.8061218111276,41.3116695005252,44.1285798395119,32.9346255450119,24.6168863030021,19.8395542039412,21.6518141040911,23.082398685231,29.1122776897881,23.0642921093867,33.3221284077428
84936,185.721297756718,184.605657668919,162.068857271291,201.269376341189,177.846977943064,172.318204121015,223.645883753519,224.391527987853,204.856288331425,210.359683952017,172.021178649175,195.032457445318
171177,21.957197764341,23.0757072086149,15.8891036540482,83.9519323776081,105.390801744038,70.4938107767787,57.7150667751016,44.28780157655,41.3559643110388,127.718379542296,108.594375348362,128.388200629833
57617,469.335102212789,493.243241584143,496.799307583239,658.699777116617,643.323018979233,542.690448043455,598.79381779168,514.722671656347,543.398135714812,562.52433342526,548.737949769157,646.841316150301
54567,12.8083653625322,15.3838048057433,13.7705565001751,29.0602842845566,23.0542378815084,27.9737344352296,34.2683208977166,21.6518141040911,33.6618314159618,38.5033350090746,36.5184625065289,33.3221284077428
79094,451.952320649352,455.745217370144,461.843279544333,124.851591741058,109.78208515004,100.705443966827,761.117443096653,705.652305119696,740.56029115116,163.404397355585,129.7366431153,125.448012829149
105370789,0,4.80743900179477,3.17782073080963,0,0,2.23789875481837,42.3845021629653,31.4935477877689,30.7765315803079,2.81731719578594,0,0.980062600227729
112268144,34.7655631268732,24.0371950089738,47.6673109621445,32.2892047606185,35.1302672480127,32.4495319448664,27.0539375508289,21.6518141040911,26.9294651327695,21.5994318343589,28.8303651367333,13.7208764031882
54617,867.309311691469,846.109264315879,881.315616011204,1124.74063249488,1041.83198807388,1065.23980729355,631.258542852674,583.614807442092,628.033597560659,740.954422491703,799.562126458737,733.086824970341
11261,1038.39247760529,948.988458954287,1023.2582753207,1316.32324740788,1300.91770902797,1321.47921472025,948.691410115733,957.600687421847,1006.9696426432,1255.5843635886,1262.76999298892,1390.70882972315
729082,1382.3885759133,1525.88113916966,1516.87976217313,1183.93750788934,1349.22182649399,1451.27734249971,1013.62086023772,1136.72024046478,1119.4963362337,1619.01828184499,1653.90194667727,1493.61540274706
11339,102.466922900258,114.417048242715,116.52009346302,87.1808528536699,107.586443447039,107.419140231282,126.251708570535,150.57852536027,113.488460202386,109.875370635652,123.970570087953,102.906573023912
51203,1121.64685246175,1127.82518982105,1137.65982162985,1097.83296186103,1183.45087791743,1243.15275830161,921.637472564904,1045.19211720658,1029.09027471655,1175.76037637467,1172.43484889382,1122.17167726075
51103,176.572465354909,195.182023472868,197.024885310197,133.46204634389,147.107994101053,148.820267195422,183.966775345636,223.407354619485,233.709286687963,149.317811376655,146.073850026115,156.810016036437
23168,1772.12883623035,1701.83340663535,1828.30619379247,1764.06688675512,1658.8073066171,1738.84733249387,1423.0371151736,1267.6152984577,1378.21155483067,1408.65859789297,1467.46558545973,1468.13377514114
3706,190.295713957622,205.758389276816,212.913988964245,594.12136759538,581.845051295211,554.998891194956,257.012406732874,245.059168723576,239.479886359271,583.18465952769,554.504022796504,666.442568154856
4058,9.14883240180875,8.65339020323058,11.652009346302,6.4578409521237,13.1738502180048,14.5463419063194,17.1341604488583,8.85756031530999,9.61766611884623,15.964797442787,22.1032799381622,16.6610642038714
26015,757.523322869764,745.153045278189,757.380607509629,850.28239202962,789.333192228786,716.127601541879,834.163074483891,710.573171961535,781.916255462199,731.563365172417,683.27965374058,795.810831384916
7301,329.357966465115,345.174120328864,315.66352592709,576.900458389717,551.1060674532,497.932472947088,390.478498650297,351.349892507296,345.27421366658,585.062870991548,566.997181022422,599.79831133937
23269,2165.52862950813,2030.66223435811,2177.86647418153,2124.6296732487,1981.56663695822,2120.40907019041,1042.47839362527,1166.24544151582,1085.83450481774,1296.90501579346,1199.34318968811,1232.91875108648
23005,546.185294387982,522.087875594912,483.028751083064,623.181651879937,584.040692998212,500.170371701906,478.854694649671,423.194548398144,377.012511858772,503.360672313755,507.414426406506,545.894868326845
8681,27.4464972054262,34.6135608129223,29.6596601542232,39.8233525380961,37.3259089510135,40.2821775867307,45.0898959180482,45.2719749449177,45.2030307585773,49.7726037922183,44.2065598763244,48.0230674111587
100137047,36.595329607235,24.0371950089738,34.9560280389059,41.975966188804,32.9346255450119,38.0442788319123,32.4647250609947,51.1770151551244,42.3177309229234,48.8334980602897,50.9336450748955,49.0031300113864
100137049,15.5530150830749,24.9986828093328,20.1261979617943,23.6787501577869,29.6411629905107,24.6168863030021,30.6611292242727,23.6201608408266,25.0059319090002,30.9904891536454,30.7523894791822,38.2224414088814
51332,7.319065921447,6.73041460251267,9.53346219242889,7.53414777747765,5.48910425750199,7.8326456418643,19.8395542039412,20.6676407357233,11.5411993426155,14.0865859789297,14.4151825683667,12.7408138029605
105370792,9.14883240180875,17.3067804064612,7.41491503855581,19.3735228563711,13.1738502180048,16.7842406611378,12.6251708570535,7.87338694694222,9.61766611884623,16.9039031747157,16.3372069108155,19.6012520045546
30844,362.293763111626,365.365364136402,348.501006812123,608.113356324982,573.062484483208,557.236789949775,356.21017775258,325.761384929734,335.656547547734,493.969614994469,530.478718515893,557.655619529578
101928363,3.6595329607235,0.961487800358954,1.05927357693654,10.7630682535395,4.39128340600159,7.8326456418643,0,4.92086684183889,1.92353322376925,10.3301630512151,6.72708519857111,2.94018780068319
23339,728.247059183976,674.002948051626,697.002013624246,447.743639347243,400.704610797645,433.033409057355,621.338765750704,621.997568808435,597.257065980351,418.841156440177,405.547136256715,433.187669300656
105370795,14.638131842894,11.5378536043074,9.53346219242889,7.53414777747765,12.0760293665044,14.5463419063194,12.6251708570535,8.85756031530999,11.5411993426155,14.0865859789297,7.68809736979555,9.80062600227729
25963,507.760198300385,548.048046204604,570.948457968797,497.253753313525,576.355947037709,584.091575007595,401.300073670629,434.02045545019,429.909675512427,539.046690127044,507.414426406506,469.449985509082
2595,188.46594747726,192.297560071791,201.261979617943,119.470057614288,130.640681328547,121.965482137601,172.243402406944,185.024593253142,199.085688660117,103.301630512151,124.931582259178,144.069202233476
825,10.0637156419896,9.61487800358953,21.1854715387309,9.68676142818555,6.58692510900239,7.8326456418643,17.1341604488583,17.71512063062,10.5794327307309,7.51284585542918,5.76607302734666,11.7607512027327
64397,2985.26401271019,2988.30408351563,2904.52814796,1612.30762438022,1620.38357681459,1672.82931922673,1938.86552447607,1966.37838999882,1985.08628692986,1315.68713043204,1371.36436833728,1419.13064512975
8773,568.142492152323,578.81565581609,630.267778277243,339.036649986494,372.161268658635,307.711078787526,506.810430118861,540.31117923391,578.021733742659,334.321640566599,392.092965859573,344.001972679933
255252,375.102128474159,372.095778738915,403.583232812823,497.253753313525,433.639236342657,481.14823228595,380.558721548326,399.574387557317,415.483176334157,536.229372931258,575.646290563442,574.316683733449
55142,388.825377076872,381.710656742505,352.738101119869,601.655515372858,603.801468325219,635.563246368418,410.318052854238,453.703922817545,428.947908900542,662.069541009697,685.201678083028,636.060627547796
57519,290.017987137337,249.025340292969,254.22565846477,481.109150933216,421.563206976153,469.958738511858,261.521396324679,277.536889879713,243.32695280681,416.023839244391,403.625111914266,455.729109105894
146059,261.65660669173,274.024023102302,243.632922695405,299.213297448398,302.99855501411,288.68893937157,264.226790079762,257.853422512358,273.141717775233,293.940094093667,271.966444456518,304.799468670824
146057,336.677032386562,352.866022731736,388.753402735712,257.237331259594,273.357392023599,318.900572561618,211.922510814826,246.043342091944,228.90045362854,229.14179859059,201.812555957133,206.793208648051
197131,656.886166449868,663.426582247678,722.424579470723,256.16102443424,268.966108617598,308.830028164935,366.129954854551,373.985879979755,409.71257666285,234.776432982162,216.2277385255,211.693521649189
80021,93.3180904984492,72.1115850269215,99.5717162320351,166.827557929862,186.629544755068,160.009760969514,67.6348438770722,70.8604825224799,70.2089626675775,142.744071253154,160.489032594482,140.148951832565
23582,75.0204256948317,91.3413410341006,93.2160747704158,114.088523487519,122.955935368045,105.181241476463,107.313952284955,110.227417257191,106.756093919193,152.135128572441,143.190813512442,142.109077033021
146050,395.229559758138,425.939095559016,401.46468565895,404.691366333085,374.356910361636,407.297573376944,473.443907139506,495.039204288992,435.680275183734,406.632781925105,401.703087571818,454.749046505666
27229,718.183343541987,680.733362654139,748.906418894136,813.687959967586,879.354502051819,873.899463756574,578.052465669377,684.984664383973,654.963062693429,831.108572756854,815.899333369553,891.856966207233
7158,2489.39729653216,2457.56281771749,2600.51663137921,1497.14279406734,1405.21068992051,1504.98691261535,1920.82956610885,1883.70782705593,1883.13902607009,1176.6994821066,1177.23990974994,1228.99850068557
