Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000257605,,MYG1-AS1,1.0164143313324303
ENSG00000145920,10814,CPLX2,-3.4807560630125423
ENSG00000245694,101927480,LOC101927480,-1.078439106722151
ENSG00000040275,54908,SPDL1,-1.1848621119531102
ENSG00000165304,9833,MELK,-1.22308375401973
ENSG00000112081,6428,SRSF3,-2.06543725638262
ENSG00000198774,9182,RASSF9,-1.5337878243069425
ENSG00000140479,5046,PCSK6,-1.0995605893974405
ENSG00000214900,283551,LINC01588,1.1000584504577795
ENSG00000168502,23255,MTCL1,-1.2752280388529011
ENSG00000225190,9842,PLEKHM1,1.261505044324814
ENSG00000101871,4281,MID1,-2.062629888046658
ENSG00000168062,116071,BATF2,1.2285739146103969
ENSG00000135127,92558,BICDL1,1.027356923470687
ENSG00000121552,1475,CSTA,1.6570066039295372
ENSG00000160957,9401,RECQL4,-1.4045636230885097
ENSG00000172244,375444,C5orf34,-1.0074372319088305
ENSG00000164574,55568,GALNT10,-1.3920764229972766
ENSG00000124762,1026,CDKN1A,1.718884032827515
ENSG00000278903,124905527,LOC124905527,-1.1873379912833844
ENSG00000101003,9837,GINS1,-1.119799680031334
ENSG00000157601,4599,MX1,2.906751068100024
ENSG00000008256,9265,CYTH3,-1.3910383291814643
ENSG00000099812,126353,MISP,-1.2991930977383026
ENSG00000196550,729533,FAM72A,-1.2372876825844732
ENSG00000180581,,SRP9P1,-1.4760119439735626
ENSG00000166508,4176,MCM7,-1.434355779619544
ENSG00000079385,634,CEACAM1,1.685139545487944
ENSG00000185238,10196,PRMT3,-1.573867452043689
ENSG00000266969,,CEP192-DT,-1.1260882395892955
ENSG00000187098,4286,MITF,-1.7841422879425235
ENSG00000136883,113220,KIF12,-1.315580885148972
ENSG00000115267,64135,IFIH1,1.3976802191264568
ENSG00000183395,5367,PMCH,-1.4279990116616
ENSG00000177425,5074,PAWR,-1.3670901661164772
ENSG00000185697,4603,MYBL1,-1.3873147865835902
ENSG00000198517,7975,MAFK,-1.3283331952577129
ENSG00000188486,3014,H2AX,-1.4298738742318662
ENSG00000117632,3925,STMN1,-1.1984289167163125
ENSG00000105810,1021,CDK6,-2.060329976552545
ENSG00000206585,26864,RNVU1-7,1.7942789030775947
ENSG00000133636,4922,NTS,-2.9146103092110645
ENSG00000101384,182,JAG1,-1.3639135875848831
ENSG00000168496,2237,FEN1,-1.1110090559997483
ENSG00000258186,,SLC7A5P2,-2.183600241671039
ENSG00000091483,2271,FH,-1.0732152741386365
ENSG00000179630,144811,LACC1,1.0801865967486668
ENSG00000085999,8438,RAD54L,-1.267520695948373
ENSG00000113924,3081,HGD,-1.627299617971138
ENSG00000250615,,,-1.2854758482320627
ENSG00000163576,151651,EFHB,-1.6406746843740516
ENSG00000099860,4616,GADD45B,-2.3101230642132293
ENSG00000187079,7003,TEAD1,-1.4723842713066275
ENSG00000258749,,,-1.4925626216226342
ENSG00000249007,,,1.4154153347105245
ENSG00000204072,,ARMCX7P,1.0203249073269969
ENSG00000140025,90141,EFCAB11,-1.3927805938823463
ENSG00000125657,8744,TNFSF9,1.4721512827340226
ENSG00000101945,6839,SUV39H1,-1.2712576498318138
