Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000199910,100169761,RNA5S10,3.774050011642884
ENSG00000258315,124944,BACC1,-1.4804737067967233
ENSG00000140543,55070,DET1,-1.2409497317764338
ENSG00000070669,440,ASNS,-3.383739834997698
ENSG00000196305,3376,IARS1,-1.3206556850455469
ENSG00000285588,,,-1.621364101983627
ENSG00000184557,9021,SOCS3,-1.112955308354254
ENSG00000255150,493861,EID3,1.2750127142498136
ENSG00000200343,100169759,RNA5S8,3.510114856874617
ENSG00000056487,112885,PHF21B,-1.056252593485367
ENSG00000234171,100506054,RNASEH1-DT,-1.081192235124127
ENSG00000111371,81539,SLC38A1,-1.1580864045819412
ENSG00000185842,127602,DNAH14,-1.162423966095671
ENSG00000085999,8438,RAD54L,-1.2016597937087077
ENSG00000202521,100169758,RNA5S7,3.510114856874617
ENSG00000263412,116435298,NFE2L1-DT,-1.1545959164820627
ENSG00000124098,116151,FAM210B,1.5163277163013502
ENSG00000228716,1719,DHFR,-1.980782178946837
ENSG00000157514,1831,TSC22D3,-1.8938169364731967
ENSG00000199352,100169751,RNA5S1,3.469362736613734
ENSG00000090238,83719,YPEL3,1.1844173988430835
ENSG00000070950,56852,RAD18,-1.3501071265295073
ENSG00000169967,10746,MAP3K2,-1.1420393208199644
ENSG00000118007,10274,STAG1,-1.0327464900346237
ENSG00000204389,3303,HSPA1A,2.0798098841377133
ENSG00000089248,10961,ERP29,-1.0743614095050154
ENSG00000151014,25819,NOCT,-1.3345307113998133
ENSG00000111196,55110,MAGOHB,-1.2958970982639109
ENSG00000201355,100169765,RNA5S14,3.483334022270151
ENSG00000202526,100169764,RNA5S13,3.483334022270151
ENSG00000128510,51200,CPA4,2.897264607020751
ENSG00000276851,,,1.9492202097837128
ENSG00000166965,91433,RCCD1,-1.09934871793972
ENSG00000109881,91057,CCDC34,-1.007756308972517
ENSG00000111845,55003,PAK1IP1,-1.332453612008981
ENSG00000269888,,,1.7097501021613175
ENSG00000184154,120356739,LRRC51,-1.0353592470744435
ENSG00000200370,100169768,RNA5S17,3.424836760538547
ENSG00000201925,100169766,RNA5S15,3.424836760538547
ENSG00000103121,56942,CMC2,-1.067084439948614
ENSG00000136628,2058,EPRS1,-1.0750722789224394
ENSG00000141510,7157,TP53,-1.054468234986528
ENSG00000261786,,,1.4518526733905002
ENSG00000199337,100169754,RNA5S3,3.424836760538547
ENSG00000244491,,,-1.030187514739854
ENSG00000201588,100169753,RNA5S2,3.424836760538547
ENSG00000175793,2810,SFN,1.4088890577108426
ENSG00000221829,2189,FANCG,-1.1696765565484672
ENSG00000230176,728228,LINC01433,-1.2020354585777735
ENSG00000228526,106614088,MIR34AHG,1.1970766328715805
ENSG00000096746,3189,HNRNPH3,-1.0201920935975997
ENSG00000202257,100169767,RNA5S16,3.424836760538547
